Spell Name,Level,School,Ritual,Casting Time,Range,Concentration,Duration,Description,Per Higher Spell Level,Source
Spider Climb,2,Transmutation,,1 action,Touch,true,1 hour,"Until the spell ends, one willing creature you touch gains the ability to move up, down, and across vertical surfaces and upside down along ceilings, while leaving its hands free. The target also gains a climbing speed equal to its walking speed.",,PHB
Spike Growth,2,Transmutation,,1 action,150 ft.,true,10 minutes,"The ground in a 20-foot radius centered on a point within range twists and sprouts hard spikes and thorns. The area becomes difficult terrain for the duration. When a creature moves into or within the area, it takes 2d4 piercing damage for every 5 feet it travels.",,PHB
Spirit Guardian,3,Conjuration,,1 action,Self,true,10 minutes,,,PHB
Spiritual Weapon,2,Evocation,,1 bonus action,60 ft.,,1 minute,"You create a floating, spectral weapon within range that lasts for the duration or until you cast this spell again. When you cast the spell, you can make a melee spell attack against a creature within 5 feet of the weapon. On a hit, the target takes force damage equal to 1d8 + your spellcasting ability modifier.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for every two slot levels above the 2nd.",PHB
Staggering Smite,4,Evocation,,1 bonus action,Self,true,1 minute,,,PHB
Stinking Cloud,3,Conjuration,,1 action,90 ft.,true,1 minute,"You create a 20-foot-radius sphere of yellow, nauseating gas centered on a point within range. The cloud spreads around corners, and its area is heavily obscured. The cloud lingers in the air for the duration.",,PHB
Stone Shape,4,Transmutation,,1 action,Touch,,Instantaneous,"You touch a stone object of Medium size or smaller or a section of stone no more than 5 feet in any dimension and form it into any shape that suits your purpose. So, for example, you could shape a large rock into a weapon, idol, or coffer, or make a small passage through a wall, as long as the wall is less than 5 feet thick. You could also shape a stone door or its frame to seal the door shut. The object you create can have up to two hinges and a latch, but finer mechanical detail isn't possible.",,PHB
Stoneskin,4,Abjuration,,1 action,Touch,true,1 hour,"This spell turns the flesh of a willing creature you touch as hard as stone. Until the spell ends, the target has resistance to nonmagical bludgeoning, piercing, and slashing damage.",,PHB
Storm of Vengeance,9,Conjuration,,1 action,Sight,true,1 minute,"A churning storm cloud forms, centered on a point you can see and spreading to a radius of 360 feet. Lightning flashes in the area, thunder booms, and strong winds roar. Each creature under the cloud (no more than 5,000 feet beneath the cloud) when it appears must make a constitution saving throw. On a failed save, a creature takes 2d6 thunder damage and becomes deafened for 5 minutes.",,PHB
Suggestion,2,Enchantment,,1 action,30 ft.,true,8 hours,"You suggest a course of activity (limited to a sentence or two) and magically influence a creature you can see within range that can hear and understand you. Creatures that can't be charmed are immune to this effect. The suggestion must be worded in such a manner as to make the course of action sound reasonable. Asking the creature to stab itself, throw itself onto a spear, immolate itself, or do some other obviously harmful act ends the spell.",,PHB
Sunbeam,6,Evocation,,1 action,Self,true,1 minute,"A beam of brilliant light flashes out from your hand in a 5-foot-wide, 60-foot-long line. Each creature in the line must make a constitution saving throw. On a failed save, a creature takes 6d8 radiant damage and is blinded until your next turn. On a successful save, it takes half as much damage and isn't blinded by this spell. Undead and oozes have disadvantage on this saving throw.",,PHB
Sunburst,8,Evocation,,1 action,150 ft.,,Instantaneous,"Brilliant sunlight flashes in a 60-foot radius centered on a point you choose within range. Each creature in that light must make a constitution saving throw. On a failed save, a creature takes 12d6 radiant damage and is blinded for 1 minute. On a successful save, it takes half as much damage and isn't blinded by this spell. Undead and oozes have disadvantage on this saving throw.",,PHB
Swift Quiver,5,Transmutation,,1 bonus action,Touch,true,1 minute,,,PHB
Symbol,7,Abjuration,,1 minute,Touch,,Dispel/Triggered,"When you cast this spell, you inscribe a harmful glyph either on a surface (such as a section of floor, a wall, or a table) or within an object that can be closed to conceal the glyph (such as a book, a scroll, or a treasure chest). If you choose a surface, the glyph can cover an area of the surface no larger than 10 feet in diameter. If you choose an object, that object must remain in its place"," if the object is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered.",PHB
Tasha's Hideous Laughter,1,Enchantment,,1 action,30 ft.,true,1 minute,,,PHB
Telekinesis,5,Transmutation,,1 action,60 ft.,true,10 minutes,"You gain the ability to move or manipulate creatures or objects by thought. When you cast the spell, and as your action each round for the duration, you can exert your will on one creature or object that you can see within range, causing the appropriate effect below. You can affect the same target round after round, or choose a new one at any time. If you switch targets, the prior target is no longer affected by the spell.",,PHB
Telepathy,8,Evocation,,1 action,Unlimited,,24 hours,,,PHB
Teleport,7,Conjuration,,1 action,10 ft.,,Instantaneous,"This spell instantly transports you and up to eight willing creatures of your choice that you can see within range, or a single object that you can see within range, to a destination you select. If you target an object, it must be able to fit entirely inside a 10-foot cube, and it can't be held or carried by an unwilling creature.",,PHB
Teleportation Circle,5,Conjuration,,1 minute,10 ft.,,1 round,"As you cast the spell, you draw a 10-foot-diameter circle on the ground inscribed with sigils that link your location to a permanent teleportation circle of your choice whose sigil sequence you know and that is on the same plane of existence as you. A shimmering portal opens within the circle you drew and remains open until the end of your next turn. Any creature that enters the portal instantly appears within 5 feet of the destination circle or in the nearest unoccupied space if that space is occupied.",,PHB
Tenser's Floating Disk,1,Conjuration,true,1 action,30 ft.,,1 hour,,,PHB
Thaumaturgy,0,Transmutation,,1 action,30 ft.,,Up to 1 minute,"You manifest a minor wonder, a sign of supernatural power, within range. You create one of the following magical effects within range.",,PHB
Thorn Whip,0,Transmutation,,1 action,30 ft.,,Instantaneous,,,PHB
Thunderous Smite,1,Evocation,,1 bonus action,Self,true,1 minute,,,PHB
Thunderwave,1,Evocation,,1 action,Self,,Instantaneous,"A wave of thunderous force sweeps out from you. Each creature in a 15-foot cube originating from you must make a constitution saving throw. On a failed save, a creature takes 2d8 thunder damage and is pushed 10 feet away from you. On a successful save, the creature takes half as much damage and isn't pushed.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st.",PHB
Time Stop,9,Transmutation,,1 action,Self,,Instantaneous,"You briefly stop the flow of time for everyone but yourself. No time passes for other creatures, while you take 1d4 + 1 turns in a row, during which you can use actions and move as normal.",,PHB
Tongues,3,Divination,,1 action,Touch,,1 hour,"This spell grants the creature you touch the ability to understand any spoken language it hears. Moreover, when the target speaks, any creature that knows at least one language and can hear the target understands what it says.",,PHB
Transport via Plants,6,Conjuration,,1 action,10 ft.,,1 round,"This spell creates a magical link between a Large or larger inanimate plant within range and another plant, at any distance, on the same plane of existence. You must have seen or touched the destination plant at least once before. For the duration, any creature can step into the target plant and exit from the destination plant by using 5 feet of movement.",,PHB
Tree Stride,5,Conjuration,,1 action,Self,true,1 minute,"You gain the ability to enter a tree and move from inside it to inside another tree of the same kind within 500 feet. Both trees must be living and at least the same size as you. You must use 5 feet of movement to enter a tree. You instantly know the location of all other trees of the same kind within 500 feet and, as part of the move used to enter the tree, can either pass into one of those trees or step out of the tree you're in. You appear in a spot of your choice within 5 feet of the destination tree, using another 5 feet of movement. If you have no movement left, you appear within 5 feet of the tree you entered.",,PHB
True Polymorph,9,Transmutation,,1 action,30 ft.,true,1 hour,"Choose one creature or nonmagical object that you can see within range. You transform the creature into a different creature, the creature into an object, or the object into a creature (the object must be neither worn nor carried by another creature). The transformation lasts for the duration, or until the target drops to 0 hit points or dies. If you concentrate on this spell for the full duration, the transformation becomes permanent.",,PHB
True Resurrection,9,Necromancy,,1 hour,Touch,,Instantaneous,"You touch a creature that has been dead for no longer than 200 years and that died for any reason except old age. If the creature's soul is free and willing, the creature is restored to life with all its hit points.",,PHB
True Seeing,6,Divination,,1 action,Touch,,1 hour,"This spell gives the willing creature you touch the ability to see things as they actually are. For the duration, the creature has truesight, notices secret doors hidden by magic, and can see into the Ethereal Plane, all out to a range of 120 feet.",,PHB
True Strike,0,Divination,,1 action,30 ft.,true,1 round,"You extend your hand and point a finger at a target in range. Your magic grants you a brief insight into the target's defenses. On your next turn, you gain advantage on your first attack roll against the target, provided that this spell hasn't ended.",,PHB
Tsunami,8,Conjuration,,1 minute,Sight,true,6 rounds,,,PHB
Unseen Servant,1,Conjuration,true,1 action,60 ft.,,1 hour,"This spell creates an invisible, mindless, shapeless force that performs simple tasks at your command until the spell ends. The servant springs into existence in an unoccupied space on the ground within range. It has AC 10, 1 hit point, and a Strength of 2, and it can't attack. If it drops to 0 hit points, the spell ends.",,PHB
Vampiric Touch,3,Necromancy,,1 action,Self,true,1 minute,"The touch of your shadow-wreathed hand can siphon life force from others to heal your wounds. Make a melee spell attack against a creature within your reach. On a hit, the target takes 3d6 necrotic damage, and you regain hit points equal to half the amount of necrotic damage dealt. Until the spell ends, you can make the attack again on each of your turns as an action.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for each slot level above 3rd.",PHB
Vicious Mockery,0,Enchantment,,1 action,60 ft.,,Instantaneous,"You unleash a string of insults laced with subtle enchantments at a creature you can see within range. If the target can hear you (though it need not understand you), it must succeed on a wisdom saving throw or take 1d4 psychic damage and have disadvantage on the next attack roll it makes before the end of its next turn.",,PHB
Wall of Fire,4,Evocation,,1 action,120 ft.,true,1 minute,"You create a wall of fire on a solid surface within range. You can make the wall up to 60 feet long, 20 feet high, and 1 foot thick, or a ringed wall up to 20 feet in diameter, 20 feet high, and 1 foot thick. The wall is opaque and lasts for the duration.","When you cast this spell using a level spell slot 5 or more, the damage of the spell increases by 1d8 for each level of higher spell slot to 4.",PHB
Wall of Force,5,Evocation,,1 action,120 ft.,true,10 minutes,"An invisible wall of force springs into existence at a point you choose within range. The wall appears in any orientation you choose, as a horizontal or vertical barrier or at an angle. It can be free floating or resting on a solid surface. You can form it into a hemispherical dome or a sphere with a radius of up to 10 feet, or you can shape a flat surface made up of ten 10-foot-by-10-foot panels. Each panel must be contiguous with another panel. In any form, the wall is 1/4 inch thick. It lasts for the duration. If the wall cuts through a creature's space when it appears, the creature is pushed to one side of the wall (your choice which side).",,PHB
Wall of Ice,6,Evocation,,1 action,120 ft.,true,10 minutes,"You create a wall of ice on a solid surface within range. You can form it into a hemispherical dome or a sphere with a radius of up to 10 feet, or you can shape a flat surface made up of ten 10-foot-square panels. Each panel must be contiguous with another panel. In any form, the wall is 1 foot thick and lasts for the duration.","When you cast this spell using a spell slot of 7th level or higher, the damage the wall deals when it appears increases by 2d6, and the damage from passing through the sheet of frigid air increases by 1d6, for each slot level above 6th.",PHB
Wall of Stone,5,Evocation,,1 action,120 ft.,true,10 minutes,"A nonmagical wall of solid stone springs into existence at a point you choose within range. The wall is 6 inches thick and is composed of ten 10-foot-by-10-foot panels. Each panel must be contiguous with at least one other panel. Alternatively, you can create 10-foot-by-20-foot panels that are only 3 inches thick.",,PHB
Wall of Thorns,6,Conjuration,,1 action,120 ft.,true,10 minutes,"You create a wall of tough, pliable, tangled brush bristling with needle-sharp thorns. The wall appears within range on a solid surface and lasts for the duration. You choose to make the wall up to 60 feet long, 10 feet high, and 5 feet thick or a circle that has a 20-foot diameter and is up to 20 feet high and 5 feet thick. The wall blocks line of sight.","When you cast this spell using a spell slot of 7th level or higher, both types of damage increase by 1d8 for each slot level above 6th.",PHB
Warding Bond,2,Abjuration,,1 action,Touch,,1 hour,"This spell wards a willing creature you touch and creates a mystic connection between you and the target until the spell ends. While the target is within 60 feet of you, it gains a +1 bonus to AC and saving throws, and it has resistance to all damage. Also, each time it takes damage, you take the same amount of damage.",,PHB
Water Breathing,3,Transmutation,true,1 action,30 ft.,,24 hours,"This spell gives a maximum of ten willing creatures within range and you can see, the ability to breathe underwater until the end of its term. Affected creatures also retain their normal breathing pattern.",,PHB
Water Walk,3,Transmutation,true,1 action,30 ft.,,1 hour,"This spell grants the ability to move across any liquid surface--such as water, acid, mud, snow, quicksand, or lava--as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). Up to ten willing creatures you can see within range gain this ability for the duration.",,PHB
Web,2,Conjuration,,1 action,60 ft.,true,1 hour,"You conjure a mass of thick, sticky webbing at a point of your choice within range. The webs fill a 20-foot cube from that point for the duration. The webs are difficult terrain and lightly obscure their area.",,PHB
Weird,9,Illusion,,1 action,120 ft.,true,1 minute,"Drawing on the deepest fears of a group of creatures, you create illusory creatures in their minds, visible only to them. Each creature in a 30-foot-radius sphere centered on a point of your choice within range must make a wisdom saving throw. On a failed save, a creature becomes frightened for the duration. The illusion calls on the creature's deepest fears, manifesting its worst nightmares as an implacable threat. At the start of each of the frightened creature's turns, it must succeed on a wisdom saving throw or take 4d10 psychic damage. On a successful save, the spell ends for that creature.",,PHB
Wind Walk,6,Transmutation,,1 minute,30 ft.,,8 hours,"You and up to ten willing creatures you can see within range assume a gaseous form for the duration, appearing as wisps of cloud. While in this cloud form, a creature has a flying speed of 300 feet and has resistance to damage from nonmagical weapons. The only actions a creature can take in this form are the Dash action or to revert to its normal form. Reverting takes 1 minute, during which time a creature is incapacitated and can't move. Until the spell ends, a creature can revert to cloud form, which also requires the 1-minute transformation.",,PHB
Wind Wall,3,Evocation,,1 action,120 ft.,true,1 minute,"A wall of strong wind rises from the ground at a point you choose within range. You can make the wall up to 50 feet long, 15 feet high, and 1 foot thick. You can shape the wall in any way you choose so long as it makes one continuous path along the ground. The wall lasts for the duration.",,PHB
Wish,9,Conjuration,,1 action,Self,,Instantaneous,"Wish is the mightiest spell a mortal creature can cast. By simply speaking aloud, you can alter the very foundations of reality in accord with your desires.",,PHB
Witch Bolt,1,Evocation,,1 action,30 ft.,true,1 minute,,,PHB
Word of Recall,6,Conjuration,,1 action,5 ft.,,Instantaneous,"You and up to five willing creatures within 5 feet of you instantly teleport to a previously designated sanctuary. You and any creatures that teleport with you appear in the nearest unoccupied space to the spot you designated when you prepared your sanctuary (see below). If you cast this spell without first preparing a sanctuary, the spell has no effect.",,PHB
Wrathful Smite,1,Evocation,,1 bonus action,Self,true,1 minute,,,PHB
Zone of Truth,2,Enchantment,,1 action,60 ft.,,10 minutes,"You create a magical zone that guards against deception in a 15-foot-radius sphere centered on a point of your choice within range. Until the spell ends, a creature that enters the spell's area for the first time on a turn or starts its turn there must make a Charisma saving throw. On a failed save, a creature can't speak a deliberate lie while in the radius. You know whether each creature succeeds or fails on its saving throw.",,PHB
